Column1,Column2,Column3
-176,23,99.589
-176,24,101.3
-176,25,112.366
-176,26,126.178
-176,27,142.649
-176,28,138.42
-176,29,125.327
-176,30,117.954
-176,31,121.992
-176,32,127.062
-176,33,124.642
-176,34,116.246
-176,35,99.968
-176,36,93.83
-176,37,98.747
-176,38,96.826
-176,39,102.133
-176,40,106.926
-176,41,105.86
-176,42,100.532
-176,43,95.703
-176,44,100.96
-176,45,106.373
-176,46,104.016
-176,47,91.661
-176,48,83.565
-176,49,68.872
-176,50,52.566
-176,51,72.373
-176,52,59.096
-176,53,51.725
-176,54,59.016
-176,55,55.694
-176,56,53.892
-176,57,54.067
-176,58,40.908
-176,59,43.952
-176,60,63.636
-176,61,66.086
-176,62,55.001
-176,63,50
-176,64,50
-176,65,50
-176,66,57.438
-176,67,73.428
-176,68,70.053
-176,69,63.187
-176,70,44.302
-176,71,46.069
-176,72,53.548
-176,73,53.495
-176,74,79.075
-176,75,134.714
-176,76,101.129
-176,77,116.359
-176,78,123.802
-176,79,129.364
-176,80,160.234
-176,81,125.1
-176,82,140.635
-176,83,125.795
-176,84,112.999
-176,85,124.363
-176,86,106.896
-176,87,130.351
-176,88,134.597
-176,89,103.065
-176,90,71.848
-175,-90,264.817
-175,-89,218.951
-175,-88,169.522
-175,-87,105.565
-175,-86,75.53
-175,-85,54.677
-175,-84,33.229
-175,-83,42.98
-175,-82,44.255
-175,-81,50.036
-175,-80,53.558
-175,-79,56.092
-175,-78,58.134
-175,-77,63.028
-175,-76,47.394
-175,-75,53.08
-175,-74,59.615
-175,-73,48.78
-175,-72,55.454
-175,-71,45.069
-175,-70,34.163
-175,-69,31.989
-175,-68,40.916
-175,-67,50
-175,-66,50
-175,-65,50.544
-175,-64,44.747
-175,-63,66.266
-175,-62,97.512
-175,-61,118.386
-175,-60,133.948
-175,-59,121.414
-175,-58,131.595
-175,-57,113.665
-175,-56,79.073
-175,-55,64.118
-175,-54,60.841
-175,-53,62.667
-175,-52,69.757
-175,-51,72.894
